# DECaLS Footprint (estimated from exposures)
#RA     DEC       POLY
0.1     34.0      1
16      34.0      1
31.6    33.2      1
36.7    29.5      1
41.3    26.3      1
43.2    13.6      1
44.5    8.1       1
48.4    4.2       1
53.5    1.4       1
59.3    0.4       1
67.1    0.4       1
74.2    0.4       1
76.8    0.4       1
76.8    -4.2      1
76.8    -7.1      1
75.5    -10.3     1
74.8    -11.9     1
69.0    -13.8     1
67.7    -20.0     1
60.0    -20.0     1
50.0    -20.0     1
40.0    -20.0     1
30.0    -20.0     1
20.0    -20.0     1
10.0    -20.0     1
7.1     -20.0     1
1.3     -20.2     1
0.1     -18.4     1
3.9     -16.8     1
7.7     -15.4     1
0.6     -15.0     1
0.1     -15.0     1
# poly 2
-0.1    -15.0     2
-9.0    -15.0     2
-18.7   -15.0     2	
-32.9   -15.0     2
-45.8   -13.4     2
-52.3   -10.9     2
-53.5   -9.5      2
-54.2   -6.5      2
-54.2   -3.8      2
-53.5   -0.4      2
-56.8   2.6       2
-54.8   6.5       2
-51.6   10.5      2
-51.6   12.3      2
-47.1   13.8      2
-43.2   17.2      2
-40.0   20.4      2
-38.1   24.5      2
-36.1   29.3      2
-25.8   32.4      2
-18.7   34.0      2
-7.7    34.0      2
-0.1    34.0      2
# Region on RA = 180
100     34        3
120     34        3 
110     34        3 
140     34        3 
160     34        3 
170     34        3 
179.9   34        3 
# poly 4
180.1   34        4 
190     34        4 
200     34        4 
220     34        4 
240     34        4 
260     34        4 
280     34        4 
277     28        4
276     23        4
274     20        4
271     15        4
268     12        4
264     9         4
260     6         4
257     1         4
252     -1        4
234     -3        4
234     -10       4
230     -10       4
220     -10       4
210     -10       4
200     -10       4
190     -10       4
180.1   -10       4
# poly 5
179.9   -10       5
170     -10       5
160     -10       5
140     -10       5
121     -10       5
117     -4.25     5
117     0.4       5
113     5.9       5
115.4   9.31      5
113.3   13.4      5
108.9   18.0      5
104.6   23.3      5
102.4   27.9      5
101.0   32.0      5
100.0   34.0      5

